Day,Temperature,Dew Point,Humidity,Wind Speed,Pressure,Precipitation
2011-01-01,41.8,27.4,57.3,6.2,30.0,
2011-01-02,36.0,18.3,49.1,9.0,30.1,0.0
2011-01-03,32.9,16.4,50.9,6.5,30.2,0.0
2011-01-04,37.5,19.0,49.1,7.5,30.2,0.0
2011-01-05,39.4,21.1,48.7,5.7,30.3,0.0
2011-01-06,43.6,26.3,58.3,6.5,30.1,0.0
2011-01-07,43.7,25.0,48.7,7.8,30.3,0.0
2011-01-08,41.2,27.6,66.8,6.3,30.4,0.0
2011-01-09,42.6,32.1,78.1,2.9,30.3,0.0
2011-01-10,49.7,26.9,41.9,6.5,30.5,0.0
2011-01-11,43.4,34.9,79.8,2.5,30.3,0.0
2011-01-12,45.5,43.1,91.0,3.1,30.1,0.0
2011-01-13,48.6,47.2,95.3,3.2,30.1,0.0
2011-01-14,54.5,48.5,81.5,8.9,30.1,0.0
2011-01-15,40.4,36.5,86.1,9.2,30.3,0.0
2011-01-16,39.1,35.8,87.3,7.0,30.0,0.0
2011-01-17,43.0,32.1,70.3,6.4,30.1,0.0
2011-01-18,36.6,16.7,45.8,11.4,30.4,0.0
2011-01-19,42.2,24.9,51.6,13.5,30.2,0.0
2011-01-20,47.8,21.1,38.0,12.3,29.9,0.0
2011-01-21,38.5,18.0,44.0,9.4,30.0,0.0
2011-01-22,23.4,-3.3,31.5,16.2,30.2,0.0
2011-01-23,22.6,-1.2,36.4,8.3,30.3,0.0
2011-01-24,21.6,11.7,68.3,11.2,30.2,0.0
2011-01-25,22.3,8.6,58.4,8.4,30.3,0.0
2011-01-26,29.5,18.6,64.5,5.6,30.2,0.0
2011-01-27,32.0,18.5,58.1,6.4,30.5,0.0
2011-01-28,37.2,29.9,78.1,9.5,30.3,0.0
2011-01-29,52.4,44.1,74.9,7.0,30.1,0.0
2011-01-30,59.5,53.6,81.7,12.9,29.7,0.0
2011-01-31,50.1,33.4,55.3,19.0,29.5,0.0
2011-02-01,30.2,13.5,52.1,13.9,30.0,
2011-02-02,26.8,15.1,63.4,8.3,30.2,0.0
2011-02-03,32.0,25.3,76.6,4.5,29.9,0.0
2011-02-04,32.7,13.9,46.1,7.3,30.0,0.0
2011-02-05,37.8,25.5,61.5,4.8,29.9,0.0
2011-02-06,40.3,25.7,57.7,8.1,30.1,0.0
2011-02-07,36.9,24.5,61.3,5.8,30.4,0.0
2011-02-08,38.8,29.3,78.2,11.8,29.9,0.0
2011-02-09,36.1,16.0,44.8,18.7,30.2,0.0
2011-02-10,36.2,16.8,46.7,5.8,30.4,0.0
2011-02-11,44.1,40.1,88.4,8.8,29.9,0.0
2011-02-12,50.6,26.9,41.8,8.3,29.9,0.0
2011-02-13,39.2,30.9,75.4,8.0,29.8,0.0
2011-02-14,40.7,23.0,67.7,5.9,29.9,0.0
2011-02-15,44.7,25.0,66.1,10.0,30.0,0.0
2011-02-16,37.7,29.6,75.4,8.2,29.9,0.0
2011-02-17,29.9,8.7,41.8,16.9,30.0,0.0
2011-02-18,32.6,8.5,37.6,8.2,30.3,0.0
2011-02-19,41.8,30.5,65.7,13.4,29.9,0.0
2011-02-20,35.3,12.7,39.6,16.3,30.0,0.0
2011-02-21,32.0,11.0,42.0,12.9,30.2,0.0
2011-02-22,33.4,22.6,65.7,5.5,30.3,0.0
2011-02-23,38.6,31.3,90.5,5.6,30.0,0.0
2011-02-24,44.6,30.7,64.7,13.0,29.9,0.0
2011-02-25,39.2,20.3,47.8,5.4,30.2,0.0
2011-02-26,41.5,35.1,81.1,9.8,29.9,0.0
2011-02-27,48.4,35.3,69.4,8.2,29.6,0.0
2011-02-28,45.0,28.0,52.7,10.5,29.7,0.0
2011-03-01,42.9,26.0,51.8,13.5,29.8,
2011-03-02,35.5,20.0,53.5,11.9,29.9,0.0
2011-03-03,35.7,17.0,47.6,13.3,29.9,0.0
2011-03-04,36.6,14.2,40.6,13.8,30.0,0.0
2011-03-05,41.9,17.9,39.8,8.2,30.0,0.0
2011-03-06,36.7,18.9,86.1,19.8,29.7,0.0
2011-03-07,43.9,26.7,52.1,16.3,30.1,0.0
2011-03-08,43.9,25.4,48.9,19.3,30.2,0.0
2011-03-09,47.8,22.2,42.0,6.8,30.3,0.0
2011-03-10,49.0,24.5,48.3,6.0,30.3,0.0
2011-03-11,51.0,43.1,75.5,9.2,30.1,0.0
2011-03-12,55.6,47.5,77.9,15.2,29.8,0.0
2011-03-13,44.0,24.1,47.0,10.5,30.0,0.0
2011-03-14,39.6,13.9,35.9,15.4,30.1,0.0
2011-03-15,46.1,21.0,41.0,8.6,29.9,0.0
2011-03-16,49.1,35.4,62.6,7.1,29.8,0.0
2011-03-17,40.2,27.6,64.8,7.0,30.1,0.0
2011-03-18,37.9,32.5,82.4,6.8,30.1,0.0
2011-03-19,46.5,28.9,61.1,8.8,29.8,0.0
2011-03-20,46.6,10.8,24.0,12.3,29.9,0.0
2011-03-21,35.6,14.5,43.8,15.8,29.8,0.0
2011-03-22,38.5,13.6,37.0,11.3,29.9,0.0
2011-03-23,44.0,19.6,38.8,8.2,30.0,0.0
2011-03-24,38.3,16.4,63.4,6.9,29.8,0.0
2011-03-25,36.4,22.4,86.1,8.0,29.6,0.0
2011-03-26,43.3,21.4,59.9,9.4,29.8,0.0
2011-03-27,45.0,25.7,47.5,13.2,30.0,0.0
2011-03-28,45.4,26.3,47.6,12.4,30.1,0.0
2011-03-29,49.6,26.0,43.4,9.5,30.2,0.0
2011-03-30,50.7,26.2,45.0,3.8,30.2,0.0
2011-03-31,50.9,40.7,72.6,6.3,29.9,0.0
2011-04-01,50.2,38.1,69.0,9.9,29.8,
2011-04-02,44.6,11.8,27.0,12.2,30.1,0.0
2011-04-03,43.5,13.0,30.5,11.8,30.3,0.0
2011-04-04,40.8,19.4,45.8,6.8,30.3,0.0
2011-04-05,47.2,32.1,64.4,9.2,29.9,0.0
2011-04-06,48.2,18.8,34.0,9.5,30.2,0.0
2011-04-07,55.6,33.1,49.9,13.9,30.1,0.0
2011-04-08,66.0,45.5,49.5,8.4,30.0,0.0
2011-04-09,73.1,51.1,47.9,9.2,30.0,0.0
2011-04-10,77.5,53.0,44.6,11.1,29.9,0.0
2011-04-11,71.6,55.8,59.5,8.5,29.8,0.0
2011-04-12,60.7,56.8,87.2,8.4,29.7,0.0
2011-04-13,58.8,40.3,52.1,8.5,29.9,0.0
2011-04-14,59.3,39.1,48.9,7.5,30.1,0.0
2011-04-15,60.0,46.0,60.3,7.0,30.2,0.0
2011-04-16,64.3,53.9,69.6,7.9,30.2,0.0
2011-04-17,68.0,57.7,70.5,6.3,30.2,0.0
2011-04-18,66.4,58.0,75.4,8.0,30.1,0.0
2011-04-19,66.9,59.8,78.5,14.9,29.8,0.0
2011-04-20,54.8,28.7,38.6,14.0,30.1,0.0
2011-04-21,48.9,22.6,38.3,9.3,30.5,0.0
2011-04-22,49.4,35.1,58.4,10.6,30.5,0.0
2011-04-23,53.3,40.2,62.2,7.0,30.3,0.0
2011-04-24,62.9,48.7,62.6,12.3,30.0,0.0
2011-04-25,56.1,29.3,44.6,12.2,30.2,0.0
2011-04-26,58.4,28.3,44.0,5.4,30.4,0.0
2011-04-27,61.5,38.8,45.4,4.4,30.3,0.0
2011-04-28,59.5,41.4,52.6,8.3,30.2,0.0
2011-04-29,57.9,53.5,85.2,8.0,30.1,0.0
2011-04-30,58.6,54.1,85.5,9.9,30.2,0.0
2011-05-01,60.0,41.1,52.7,9.5,30.4,
2011-05-02,57.8,44.7,63.7,6.3,30.4,0.0
2011-05-03,57.5,42.1,58.7,9.4,30.3,0.0
2011-05-04,57.6,41.8,57.7,9.3,30.3,0.0
2011-05-05,54.1,40.6,61.4,9.4,30.2,0.0
2011-05-06,56.8,51.0,81.4,12.4,30.1,0.0
2011-05-07,62.4,58.3,86.8,12.9,30.0,0.0
2011-05-08,62.5,55.2,78.1,6.1,30.0,0.0
2011-05-09,63.1,55.9,78.3,5.0,29.9,0.0
2011-05-10,68.2,59.5,76.3,6.3,29.9,0.0
2011-05-11,68.7,61.8,79.5,6.3,29.8,0.0
2011-05-12,61.8,36.7,42.1,12.8,29.9,0.0
2011-05-13,54.4,24.0,34.0,11.0,30.1,0.0
2011-05-14,55.5,30.2,41.7,6.2,30.1,0.0
2011-05-15,68.0,50.9,54.9,8.0,29.9,0.0
2011-05-16,76.8,57.1,52.0,10.5,29.8,0.0
2011-05-17,73.7,50.7,46.5,6.1,30.0,0.0
2011-05-18,63.5,55.5,75.7,6.8,30.2,0.0
2011-05-19,67.1,62.3,85.3,4.8,30.1,0.0
2011-05-20,71.1,65.2,82.4,6.6,30.1,0.0
2011-05-21,73.4,66.8,80.5,8.1,29.9,0.0
2011-05-22,77.0,68.7,76.1,9.7,29.9,0.0
2011-05-23,73.2,65.7,77.9,9.6,29.8,0.0
2011-05-24,59.6,45.3,65.8,16.4,29.9,0.0
2011-05-25,57.5,24.8,38.9,14.9,30.1,0.0
2011-05-26,64.0,27.8,32.5,10.2,30.2,0.0
2011-05-27,65.2,39.7,42.6,4.4,30.2,0.0
2011-05-28,71.2,60.4,69.4,8.8,30.1,0.0
2011-05-29,78.3,65.3,66.6,8.9,30.1,0.0
2011-05-30,79.4,66.4,65.4,8.5,30.1,0.0
2011-05-31,80.4,64.1,59.8,10.6,30.1,0.0
2011-06-01,82.0,65.2,57.6,11.2,30.0,
2011-06-02,77.5,66.4,69.1,12.3,29.9,0.0
2011-06-03,73.9,64.7,74.3,8.7,29.9,0.0
2011-06-04,70.4,45.2,42.1,8.4,30.1,0.0
2011-06-05,72.0,52.2,51.2,6.0,30.1,0.0
2011-06-06,69.8,59.8,71.2,8.7,30.0,0.0
