,Day,Temperature,Dew Point,Humidity,Wind Speed,Pressure,Precipitation
0,2012-01-01,50.3,38.4,66.0,9.3,29.9,
1,2012-01-02,39.4,16.3,39.5,13.8,29.9,0.0
2,2012-01-03,28.8,8.0,42.6,16.2,30.1,0.0
3,2012-01-04,27.1,7.2,43.2,7.7,30.2,0.0
4,2012-01-05,39.8,23.7,54.6,4.8,30.0,0.0
5,2012-01-06,46.4,29.1,53.8,7.3,29.9,0.0
6,2012-01-07,51.1,29.0,52.4,7.6,29.9,0.0
7,2012-01-08,45.3,26.3,48.1,8.2,30.2,0.0
8,2012-01-09,35.5,15.8,79.2,3.5,30.2,0.0
9,2012-01-10,39.5,26.9,76.0,7.1,30.0,0.0
10,2012-01-11,41.4,37.7,86.7,5.9,29.9,0.0
11,2012-01-12,48.7,43.4,82.2,7.6,29.5,0.0
12,2012-01-13,39.6,21.2,52.3,15.4,29.6,0.0
13,2012-01-14,32.1,13.3,46.2,8.8,30.1,0.0
14,2012-01-15,30.7,9.7,42.4,9.8,30.4,0.0
15,2012-01-16,34.0,19.1,54.9,10.5,30.4,0.0
16,2012-01-17,50.6,41.9,72.5,14.1,29.9,0.0
17,2012-01-18,40.8,20.0,44.2,16.5,30.0,0.0
18,2012-01-19,34.1,16.9,49.9,9.7,30.1,0.0
19,2012-01-20,33.2,17.0,54.1,8.2,30.2,0.0
20,2012-01-21,31.1,27.1,85.2,8.2,30.1,0.0
21,2012-01-22,30.6,25.1,79.7,7.8,30.4,0.0
22,2012-01-23,36.4,33.2,92.8,5.7,30.1,0.0
23,2012-01-24,46.3,40.9,82.6,4.6,30.1,0.0
24,2012-01-25,42.2,22.8,64.5,6.3,30.3,0.0
25,2012-01-26,47.0,40.8,79.0,4.0,30.0,0.0
26,2012-01-27,55.2,48.8,81.5,12.6,29.6,0.0
27,2012-01-28,44.3,20.6,52.6,9.3,30.0,0.0
28,2012-01-29,41.2,12.9,32.8,10.5,30.2,0.0
29,2012-01-30,40.2,17.0,40.7,9.0,30.3,0.0
30,2012-01-31,52.0,27.6,40.7,11.1,30.1,0.0
0,2012-02-01,58.2,40.3,52.2,7.5,30.0,
1,2012-02-02,50.9,41.0,70.5,8.2,30.1,0.0
2,2012-02-03,43.4,26.1,54.1,7.2,30.4,0.0
3,2012-02-04,39.3,28.7,80.2,5.3,30.2,0.0
4,2012-02-05,39.9,29.6,67.7,7.4,30.1,0.0
5,2012-02-06,41.6,24.6,62.5,7.1,30.2,0.0
6,2012-02-07,47.5,27.5,49.3,6.5,30.1,0.0
7,2012-02-08,38.6,29.8,76.7,6.0,30.2,0.0
8,2012-02-09,39.8,22.9,56.0,8.2,30.2,0.0
9,2012-02-10,41.1,25.8,55.5,4.9,30.1,0.0
10,2012-02-11,35.7,27.4,76.9,12.8,29.8,0.0
11,2012-02-12,26.9,9.7,49.6,17.4,30.0,0.0
12,2012-02-13,36.9,14.5,42.4,6.3,30.1,0.0
13,2012-02-14,45.7,27.3,49.8,6.4,30.0,0.0
14,2012-02-15,46.9,23.0,55.2,8.0,30.2,0.0
15,2012-02-16,44.3,36.1,76.9,3.6,30.2,0.0
16,2012-02-17,44.4,34.7,74.6,7.0,30.0,0.0
17,2012-02-18,47.0,25.5,52.7,8.9,30.0,0.0
18,2012-02-19,39.8,24.9,59.9,8.7,30.0,0.0
19,2012-02-20,41.3,21.1,49.4,9.3,30.2,0.0
20,2012-02-21,41.8,28.8,61.3,8.7,30.1,0.0
21,2012-02-22,52.4,34.5,55.7,10.0,29.7,0.0
22,2012-02-23,57.0,39.6,55.1,7.7,29.6,0.0
23,2012-02-24,53.1,46.2,79.8,9.1,29.4,0.0
24,2012-02-25,40.6,18.9,43.7,17.8,29.9,0.0
25,2012-02-26,41.3,19.8,43.1,8.5,30.4,0.0
26,2012-02-27,49.8,29.3,48.6,11.2,30.3,0.0
27,2012-02-28,47.7,23.1,39.1,8.3,30.4,0.0
28,2012-02-29,48.4,43.1,86.6,9.1,29.9,0.0
0,2012-03-01,57.3,45.2,71.8,8.2,29.7,
1,2012-03-02,47.9,37.6,74.5,5.7,29.9,0.0
2,2012-03-03,51.7,38.9,69.6,6.6,29.6,0.0
3,2012-03-04,44.0,21.4,41.3,13.7,29.8,0.0
4,2012-03-05,38.0,21.0,51.0,10.8,30.1,0.0
5,2012-03-06,39.5,20.9,48.2,8.8,30.6,0.0
6,2012-03-07,53.4,33.8,51.4,14.7,30.5,0.0
7,2012-03-08,64.2,47.3,56.0,18.9,30.1,0.0
8,2012-03-09,51.6,27.0,40.8,16.9,30.1,0.0
9,2012-03-10,41.2,15.8,36.8,9.0,30.5,0.0
10,2012-03-11,48.8,29.0,48.7,9.8,30.5,0.0
11,2012-03-12,58.5,34.7,48.7,8.5,30.3,0.0
12,2012-03-13,66.7,51.8,61.0,9.7,30.0,0.0
13,2012-03-14,67.2,45.8,50.3,5.0,30.1,0.0
14,2012-03-15,65.5,49.8,59.0,6.5,30.1,0.0
15,2012-03-16,55.0,50.3,84.5,4.7,30.2,0.0
16,2012-03-17,60.5,53.1,78.7,4.0,30.2,0.0
17,2012-03-18,58.2,52.3,80.8,5.3,30.3,0.0
18,2012-03-19,65.3,55.5,71.9,6.8,30.2,0.0
19,2012-03-20,66.0,60.3,82.4,5.4,30.2,0.0
20,2012-03-21,62.8,57.9,84.8,4.7,30.3,0.0
21,2012-03-22,63.4,59.4,88.0,4.2,30.2,0.0
22,2012-03-23,69.6,58.0,69.8,5.2,30.0,0.0
23,2012-03-24,60.6,57.9,91.3,8.5,29.9,0.0
24,2012-03-25,55.2,51.8,88.8,9.3,29.8,0.0
25,2012-03-26,55.3,31.8,45.6,16.6,29.9,0.0
26,2012-03-27,45.0,14.5,30.4,7.9,30.3,0.0
27,2012-03-28,60.9,41.3,49.3,12.1,29.8,0.0
28,2012-03-29,59.6,32.9,43.2,13.6,29.9,0.0
29,2012-03-30,49.0,28.7,59.6,5.6,30.0,0.0
30,2012-03-31,53.8,45.7,74.4,10.1,29.8,0.0
0,2012-04-01,54.2,43.7,68.7,6.6,29.8,
1,2012-04-02,54.8,33.9,54.2,12.0,29.8,0.0
2,2012-04-03,58.2,28.5,39.7,4.2,29.9,0.0
3,2012-04-04,64.9,42.1,45.6,7.7,29.7,0.0
4,2012-04-05,54.6,26.5,38.4,8.7,29.8,0.0
5,2012-04-06,52.2,25.3,37.1,13.2,30.0,0.0
6,2012-04-07,55.7,19.6,25.3,11.4,30.1,0.0
7,2012-04-08,60.9,25.3,28.2,9.7,29.9,0.0
8,2012-04-09,59.7,28.2,32.3,14.9,29.9,0.0
9,2012-04-10,55.9,30.6,42.6,10.8,29.8,0.0
10,2012-04-11,47.1,24.2,48.2,12.2,29.9,0.0
11,2012-04-12,52.3,23.6,44.7,12.1,30.1,0.0
12,2012-04-13,55.7,31.2,41.9,6.6,30.2,0.0
13,2012-04-14,61.0,40.8,50.3,8.2,30.1,0.0
14,2012-04-15,70.8,51.3,50.7,9.7,30.0,0.0
15,2012-04-16,75.7,57.7,56.3,11.5,30.0,0.0
16,2012-04-17,69.9,40.4,38.0,11.6,30.1,0.0
17,2012-04-18,56.5,42.2,61.7,6.4,30.2,0.0
18,2012-04-19,60.3,46.4,62.4,3.5,30.1,0.0
19,2012-04-20,63.6,51.9,68.1,6.7,29.9,0.0
20,2012-04-21,67.0,55.5,69.5,13.0,29.7,0.0
21,2012-04-22,49.8,45.7,85.4,16.8,29.6,0.0
22,2012-04-23,44.7,37.7,77.3,12.8,29.4,0.0
23,2012-04-24,52.9,28.0,45.7,10.1,29.6,0.0
24,2012-04-25,58.7,32.6,44.5,5.3,29.8,0.0
25,2012-04-26,60.8,53.6,77.8,8.3,29.7,0.0
26,2012-04-27,56.5,25.7,39.2,14.0,30.0,0.0
27,2012-04-28,50.0,28.6,50.1,5.3,30.2,0.0
28,2012-04-29,55.1,41.7,65.4,4.3,30.2,0.0
29,2012-04-30,57.1,39.7,55.5,6.7,30.2,0.0
0,2012-05-01,70.1,58.6,68.8,6.6,30.0,
1,2012-05-02,65.8,59.9,81.2,6.8,30.1,0.0
