,date,temperature,dew_point,humidity,wind_speed,pressure,season,year,month,weekday,casual,casual_revenue,registered,registered_revenue,bikes_count,total_revenue,holiday_holiday,holiday_not a holiday,working_day_weekend,working_day_working day,weather_condition_Clear_Partly cloudy,"weather_condition_Light Snow, Light Rain",weather_condition_Mist_Cloudy
0,2011-01-01,48.4,42.2,82.8,8,30.1,1,2011,1,6,331,2648,654,2943,985,5591,0,1,1,0,0,0,1
1,2011-01-02,50.4,40.8,73.8,11,30,1,2011,1,0,131,1048,670,3015,801,4063,0,1,1,0,0,0,1
2,2011-01-03,33.6,13.2,44.2,10.8,30.2,1,2011,1,1,120,960,1229,5530.5,1349,6490.5,0,1,0,1,1,0,0
3,2011-01-04,33.7,20.8,60,6.7,30,1,2011,1,2,108,864,1454,6543,1562,7407,0,1,0,1,1,0,0
4,2011-01-05,36.6,15.7,43.6,8.4,29.9,1,2011,1,3,82,656,1518,6831,1600,7487,0,1,0,1,1,0,0
5,2011-01-06,33.6,17.8,53.7,4.1,29.7,1,2011,1,4,88,704,1518,6831,1606,7535,0,1,0,1,1,0,0
6,2011-01-07,33.6,16.9,51.5,7,29.5,1,2011,1,5,148,1184,1362,6129,1510,7313,0,1,0,1,0,0,1
7,2011-01-08,30.7,19.3,65.5,7.6,29.5,1,2011,1,6,68,544,891,4009.5,959,4553.5,0,1,1,0,0,0,1
8,2011-01-09,28,8.5,44.2,15.2,30.1,1,2011,1,0,54,432,768,3456,822,3888,0,1,1,0,1,0,0
9,2011-01-10,29.2,12.1,49.1,9.3,30.3,1,2011,1,1,41,328,1280,5760,1321,6088,0,1,0,1,1,0,0
10,2011-01-11,30.6,24.3,79.4,4.5,30,1,2011,1,2,43,344,1220,5490,1263,5834,0,1,0,1,0,0,1
11,2011-01-12,31,19.5,64.7,11.7,29.9,1,2011,1,3,25,200,1137,5116.5,1162,5316.5,0,1,0,1,1,0,0
12,2011-01-13,30.6,13.1,48.4,12.8,30.3,1,2011,1,4,38,304,1368,6156,1406,6460,0,1,0,1,1,0,0
13,2011-01-14,30,15,54.7,5.9,30.4,1,2011,1,5,54,432,1367,6151.5,1421,6583.5,0,1,0,1,1,0,0
14,2011-01-15,37.1,19.3,50.2,6.6,30.1,1,2011,1,6,222,1776,1026,4617,1248,6393,0,1,1,0,0,0,1
15,2011-01-16,36.8,18.6,48.4,8.2,30.1,1,2011,1,0,251,2008,953,4288.5,1204,6296.5,0,1,1,0,1,0,0
16,2011-01-17,31.2,18.4,60.9,8.2,30.2,1,2011,1,1,117,936,883,3973.5,1000,4909.5,1,0,1,0,0,0,1
17,2011-01-18,33.3,26.5,88.2,9.6,29.9,1,2011,1,2,9,72,674,3033,683,3105,0,1,0,1,0,0,1
18,2011-01-19,39.6,33.9,82.4,6.2,29.8,1,2011,1,3,78,624,1572,7074,1650,7698,0,1,0,1,0,0,1
19,2011-01-20,39.3,23.6,54,8.9,30,1,2011,1,4,83,664,1844,8298,1927,8962,0,1,0,1,0,0,1
20,2011-01-21,33.1,14.5,53.9,13.1,29.8,1,2011,1,5,75,600,1468,6606,1543,7206,0,1,0,1,1,0,0
21,2011-01-22,21.1,0.4,41.3,7.6,30,1,2011,1,6,93,744,888,3996,981,4740,0,1,1,0,1,0,0
22,2011-01-23,24.4,4.4,44.5,10,30.1,1,2011,1,0,150,1200,836,3762,986,4962,0,1,1,0,1,0,0
23,2011-01-24,24.5,7.9,49.8,6.7,30.4,1,2011,1,1,86,688,1330,5985,1416,6673,0,1,0,1,1,0,0
24,2011-01-25,35.8,23.7,62.4,5.5,30.1,1,2011,1,2,186,1488,1799,8095.5,1985,9583.5,0,1,0,1,0,0,1
25,2011-01-26,34.8,16.1,89.3,12.1,29.8,1,2011,1,3,34,272,472,2124,506,2396,0,1,0,1,0,1,0
26,2011-01-27,34.8,25,68.4,9.1,29.9,1,2011,1,4,15,120,416,1872,431,1992,0,1,0,1,1,0,0
27,2011-01-28,33.3,28.3,82.6,4.9,29.8,1,2011,1,5,38,304,1129,5080.5,1167,5384.5,0,1,0,1,0,0,1
28,2011-01-29,33.6,23.1,65.7,6.4,30,1,2011,1,6,123,984,975,4387.5,1098,5371.5,0,1,1,0,1,0,0
29,2011-01-30,35,26.4,72.2,3,30.1,1,2011,1,0,140,1120,956,4302,1096,5422,0,1,1,0,1,0,0
30,2011-01-31,31.3,19.2,61,7.4,30.4,1,2011,1,1,42,336,1459,6565.5,1501,6901.5,0,1,0,1,0,0,1
31,2011-02-01,32.5,23,85.6,2.1,30.2,1,2011,2,2,47,376,1313,5908.5,1360,6284.5,0,1,0,1,0,0,1
32,2011-02-02,38.9,33.5,85.2,8.2,29.8,1,2011,2,3,72,576,1454,6543,1526,7119,0,1,0,1,0,0,1
33,2011-02-03,32.8,13.4,44.9,11.9,30.4,1,2011,2,4,61,488,1489,6700.5,1550,7188.5,0,1,0,1,1,0,0
34,2011-02-04,34.8,21.1,58.3,5.3,30.3,1,2011,2,5,88,704,1620,7290,1708,7994,0,1,0,1,0,0,1
35,2011-02-05,36.3,34.8,96.3,5.8,29.8,1,2011,2,6,100,800,905,4072.5,1005,4872.5,0,1,1,0,0,0,1
36,2011-02-06,41.4,27.2,57.6,6.2,29.9,1,2011,2,0,354,2832,1269,5710.5,1623,8542.5,0,1,1,0,1,0,0
37,2011-02-07,40.1,29.6,74.9,1.9,29.9,1,2011,2,1,120,960,1592,7164,1712,8124,0,1,0,1,1,0,0
38,2011-02-08,35.7,19.1,54.4,15.3,29.9,1,2011,2,2,64,512,1466,6597,1530,7109,0,1,0,1,1,0,0
39,2011-02-09,27.6,12.1,54.9,8.7,30.2,1,2011,2,3,53,424,1552,6984,1605,7408,0,1,0,1,0,0,1
40,2011-02-10,28.7,8.4,45.2,9.3,30.1,1,2011,2,4,47,376,1491,6709.5,1538,7085.5,0,1,0,1,1,0,0
41,2011-02-11,31.9,15,53.2,4.1,30.1,1,2011,2,5,149,1192,1597,7186.5,1746,8378.5,0,1,0,1,1,0,0
42,2011-02-12,35.6,19,55.3,8.5,30,1,2011,2,6,288,2304,1184,5328,1472,7632,0,1,1,0,1,0,0
43,2011-02-13,43.5,23.2,47.9,10.8,30,1,2011,2,0,397,3176,1192,5364,1589,8540,0,1,1,0,1,0,0
44,2011-02-14,53.2,26.5,37.7,17.6,29.8,1,2011,2,1,208,1664,1705,7672.5,1913,9336.5,0,1,0,1,1,0,0
45,2011-02-15,39.8,10.8,32,12.8,30.3,1,2011,2,2,140,1120,1675,7537.5,1815,8657.5,0,1,0,1,1,0,0
46,2011-02-16,44.5,22.3,43,10.3,30.3,1,2011,2,3,218,1744,1897,8536.5,2115,10280.5,0,1,0,1,1,0,0
47,2011-02-17,55,36.5,51.3,9.6,30.1,1,2011,2,4,259,2072,2216,9972,2475,12044,0,1,0,1,1,0,0
48,2011-02-18,62.7,41.2,51.8,10.9,29.9,1,2011,2,5,579,4632,2348,10566,2927,15198,0,1,0,1,1,0,0
49,2011-02-19,51.8,9.7,19.3,21.5,29.9,1,2011,2,6,532,4256,1103,4963.5,1635,9219.5,0,1,1,0,1,0,0
50,2011-02-20,41.1,18.5,41.4,9.5,30.2,1,2011,2,0,639,5112,1173,5278.5,1812,10390.5,0,1,1,0,1,0,0
51,2011-02-21,40.5,28.6,67.6,13.8,29.8,1,2011,2,1,195,1560,912,4104,1107,5664,1,0,1,0,0,0,1
52,2011-02-22,30.5,21.7,71.3,10.7,30,1,2011,2,2,74,592,1376,6192,1450,6784,0,1,0,1,1,0,0
53,2011-02-23,35.4,14.1,43.4,4,30.3,1,2011,2,3,139,1112,1778,8001,1917,9113,0,1,0,1,1,0,0
